entrez	target gene	target probe	source probe	Score
6048	RNF5	209111_at	204116_at	0.551215
5920	RARRES3	204070_at	204116_at	0.550583
200081	TXLNA	212300_at	204116_at	0.550232
55862	ECHDC1	233124_s_at	204116_at	0.550135
51125	GOLGA7	1554167_a_at	204116_at	0.550035
10425	ARIH2	201229_s_at	204116_at	0.549317
57804	POLD4	202996_at	204116_at	0.549315
442240	ZNF259P1	217185_s_at	204116_at	0.549097
8882	ZPR1	217185_s_at	204116_at	0.549097
6576	SLC25A1	210010_s_at	204116_at	0.549015
84954	MPND	233651_s_at	204116_at	0.548944
5583	PRKCH	206099_at	204116_at	0.548799
9491	PSMF1	201052_s_at	204116_at	0.548768
55954	ZMAT5	218752_at	204116_at	0.548716
1639	DCTN1	201082_s_at	204116_at	0.548692
57835	SLC4A5	201082_s_at	204116_at	0.548692
134429	STARD4	226390_at	204116_at	0.548683
79002	C19orf43	223003_at	204116_at	0.548591
10923	SUB1	214512_s_at	204116_at	0.548467
9733	SART3	209128_s_at	204116_at	0.548232
10535	RNASEH2A	203022_at	204116_at	0.548215
8721	EDF1	209059_s_at	204116_at	0.548000
221895	JAZF1	225800_at	204116_at	0.547954
3183	HNRNPC	212626_x_at	204116_at	0.547951
10558	SPTLC1	202278_s_at	204116_at	0.547699
92609	TIMM50	224913_s_at	204116_at	0.547503
11016	ATF7	228830_s_at	204116_at	0.547463
811	CALR	200935_at	204116_at	0.547397
3916	LAMP1	201551_s_at	204116_at	0.547317
51506	UFC1	217797_at	204116_at	0.547111
54732	TMED9	208757_at	204116_at	0.546879
10130	PDIA6	216640_s_at	204116_at	0.546737
11212	PROSC	214545_s_at	204116_at	0.546656
29916	SNX11	220140_s_at	204116_at	0.546170
7416	VDAC1	217140_s_at	204116_at	0.546112
4678	NASP	201970_s_at	204116_at	0.545876
64785	GINS3	45633_at	204116_at	0.545831
1477	CSTF1	202190_at	204116_at	0.545417
100526760	ABHD14A-ACY1	202740_at	204116_at	0.545389
95	ACY1	202740_at	204116_at	0.545389
4836	NMT1	201157_s_at	204116_at	0.545008
10659	CELF2	1554569_a_at	204116_at	0.545000
5479	PPIB	200968_s_at	204116_at	0.544671
