entrez	target gene	target probe	source probe	Score
100996741	LOC100996741	1558588_at	229295_at	0.021808
319085	ITPK1-AS1	234594_at	228685_at	0.021805
534	ATP6V1G2	214762_at	205707_at	0.021771
101927122		1555221_at	229101_at	0.021719
646241	LOC646241	1559790_at	229295_at	0.021702
340529	PABPC1L2A	1557203_at	205707_at	0.021648
645974	PABPC1L2B	1557203_at	205707_at	0.021648
4046	LSP1	203523_at	229101_at	0.021580
619455	SPANXA2-OT1	1564491_at	229295_at	0.021537
2151	F2RL2	206795_at	205707_at	0.021521
7840	ALMS1	214220_s_at	229101_at	0.021503
25937	WWTR1	202134_s_at	229295_at	0.021466
140838	NANP	228073_at	229295_at	0.021411
7070	THY1	208851_s_at	205707_at	0.021397
643955	ZNF733P	1554996_at	229295_at	0.021333
101927948	LOC101927948	1561559_at	205707_at	0.021317
51754	TMEM8B	207839_s_at	228685_at	0.021313
79345	OR51B2	234486_at	229295_at	0.021294
117531	TMC1	1564591_a_at	228685_at	0.021286
253980	KCTD13	45653_at	205707_at	0.021197
30814	PLA2G2E	221389_at	229101_at	0.021163
101927152	LINC01212	1569544_at	229101_at	0.021144
400568	LOC400568	1560513_at	228685_at	0.021125
24137	KIF4A	218355_at	228685_at	0.021109
50804	MYEF2	222153_at	228685_at	0.021085
400456	LINC01197	1562901_at	205707_at	0.021072
23760	PITPNB	202522_at	229101_at	0.021048
55159	RFWD3	218564_at	205707_at	0.021034
100288079	GS1-279B7.1	242226_at	229295_at	0.021018
116225	ZMYND19	227477_at	205707_at	0.021017
493829	TRIM72	1554803_s_at	205707_at	0.021011
100506076	LOC100506076	221973_at	229101_at	0.021000
100506123	LOC100506123	221973_at	229101_at	0.021000
135154	SDHAF4	238504_at	229101_at	0.020978
100289092	ATP2A1-AS1	230696_at	228685_at	0.020967
101927827	LOC101927827	1560833_at	229295_at	0.020949
643648	LINC01189	1560833_at	229295_at	0.020949
1894	ECT2	237241_at	205707_at	0.020941
54331	GNG2	1555766_a_at	229101_at	0.020930
100287852	LOC100287852	215947_s_at	229101_at	0.020917
84908	FAM136A	215947_s_at	229101_at	0.020917
84292	WDR83	224434_s_at	205707_at	0.020854
