entrez	target gene	target probe	source probe	Score
79758	DHRS12	204800_s_at	211676_s_at	0.180704
101927034	ROR1-AS1	1562823_at	211676_s_at	0.180676
266553	OFCC1	1565026_a_at	211676_s_at	0.180669
23429	RYBP	201845_s_at	202727_s_at	0.180665
6991	TCTE3	1557945_at	242903_at	0.180554
79781	IQCA1	1557642_at	242903_at	0.180553
1912	PHC2	200919_at	211676_s_at	0.180535
407021	MIR29A	244322_at	202727_s_at	0.180532
407024	MIR29B1	244322_at	202727_s_at	0.180532
400506	KNOP1	213237_at	242903_at	0.180514
1846	DUSP4	226034_at	211676_s_at	0.180495
9781	RNF144A	204040_at	202727_s_at	0.180489
83988	NCALD	211685_s_at	211676_s_at	0.180486
53635	PTOV1	212032_s_at	211676_s_at	0.180484
375593	TRIM73	1554250_s_at	242903_at	0.180426
26575	RGS17	220334_at	202727_s_at	0.180416
148252	DIRAS1	226573_at	211676_s_at	0.180416
154214	RNF217	232100_at	242903_at	0.180410
283357	LOC283357	235151_at	202727_s_at	0.180359
7042	TGFB2	220407_s_at	211676_s_at	0.180334
3772	KCNJ15	211806_s_at	242903_at	0.180331
7132	TNFRSF1A	207643_s_at	211676_s_at	0.180302
1285	COL4A3	216896_at	211676_s_at	0.180301
8363	HIST1H4J	214463_x_at	211676_s_at	0.180274
1861	TOR1A	202348_s_at	211676_s_at	0.180236
23066	CAND2	213547_at	242903_at	0.180233
81839	VANGL1	219330_at	211676_s_at	0.180219
10456	HAX1	201145_at	211676_s_at	0.180216
844	CASQ1	219645_at	211676_s_at	0.180213
101927248	LOC101927248	239634_at	211676_s_at	0.180176
64963	MRPS11	215919_s_at	242903_at	0.180156
9380	GRHPR	201347_x_at	211676_s_at	0.180080
493911	PHOSPHO2	230434_at	242903_at	0.180075
1802	DPH2	204514_at	211676_s_at	0.180075
101927115	CTB-12O2.1	233238_s_at	211676_s_at	0.180064
91179	SCARF2	227557_at	211676_s_at	0.180039
27238	GPKOW	203776_at	242903_at	0.180015
374291	NDUFS7	211752_s_at	211676_s_at	0.179999
2776	GNAQ	224862_at	202727_s_at	0.179987
1956	EGFR	211607_x_at	211676_s_at	0.179963
60681	FKBP10	219249_s_at	211676_s_at	0.179920
92285	ZNF585B	235262_at	211676_s_at	0.179914
120534	ARL14EP	226383_at	242903_at	0.179904
140707	BRI3BP	225716_at	242903_at	0.179870
646903	LOC646903	237116_at	242903_at	0.179870
26469	PTPN18	1569552_at	242903_at	0.179850
1896	EDA	211130_x_at	242903_at	0.179848
50840	TAS2R14	235762_at	202727_s_at	0.179837
55732	C1orf112	220840_s_at	242903_at	0.179833
9353	SLIT2	230130_at	211676_s_at	0.179830
91300	R3HDM4	221764_at	211676_s_at	0.179809
51447	IP6K2	218192_at	211676_s_at	0.179804
7718	ZNF165	206683_at	211676_s_at	0.179786
9373	PLAA	235394_at	211676_s_at	0.179756
79735	TBC1D17	218466_at	211676_s_at	0.179747
286052	LOC286052	241370_at	242903_at	0.179730
254013	METTL20	1563474_at	242903_at	0.179712
25796	PGLS	218388_at	211676_s_at	0.179683
23170	TTLL12	1552257_a_at	211676_s_at	0.179669
65266	WNK4	244344_at	211676_s_at	0.179665
4695	NDUFA2	209223_at	211676_s_at	0.179623
252839	TMEM9	222988_s_at	211676_s_at	0.179617
401562	LCNL1	1560488_at	211676_s_at	0.179606
115908	CTHRC1	225681_at	202727_s_at	0.179560
6241	RRM2	209773_s_at	211676_s_at	0.179541
5937	RBMS1	215127_s_at	242903_at	0.179480
3430	IFI35	209417_s_at	211676_s_at	0.179421
2314	FLII	222065_s_at	211676_s_at	0.179396
27037	TRMT2A	218475_at	211676_s_at	0.179377
28234	SLCO1B3	206354_at	211676_s_at	0.179373
127002	ATXN7L2	230038_at	211676_s_at	0.179327
64897	C12orf43	219022_at	211676_s_at	0.179306
84135	UTP15	228050_at	242903_at	0.179301
26017	FAM32A	201863_at	211676_s_at	0.179230
2329	FMO4	206263_at	202727_s_at	0.179228
60625	DHX35	234728_s_at	211676_s_at	0.179224
81614	NIPA2	212133_at	211676_s_at	0.179215
254295	PHYHD1	226846_at	211676_s_at	0.179209
84896	ATAD1	224850_at	202727_s_at	0.179191
84253	GARNL3	1563907_at	242903_at	0.179167
51177	PLEKHO1	218223_s_at	211676_s_at	0.179124
7775	ZNF232	219123_at	211676_s_at	0.179117
887	CCKBR	210381_s_at	211676_s_at	0.179090
26233	FBXL6	219189_at	211676_s_at	0.179089
10300	KATNB1	203163_at	211676_s_at	0.179040
29993	PACSIN1	224360_s_at	211676_s_at	0.179033
5058	PAK1	209615_s_at	211676_s_at	0.178964
79921	TCEAL4	202371_at	202727_s_at	0.178948
84830	ADTRP	215100_at	202727_s_at	0.178946
11215	AKAP11	203156_at	242903_at	0.178882
231	AKR1B1	201272_at	211676_s_at	0.178857
2958	GTF2A2	230376_at	242903_at	0.178845
200634	KRTCAP3	235148_at	211676_s_at	0.178833
101929716	ARMC2-AS1	202961_s_at	211676_s_at	0.178819
9551	ATP5J2	202961_s_at	211676_s_at	0.178819
55135	WRAP53	44563_at	211676_s_at	0.178792
22796	COG2	203073_at	242903_at	0.178779
