entrez	target gene	target probe	source probe	Score
11276	SYNRG	222715_s_at	206618_at	0.407832
140460	ASB7	219996_at	206618_at	0.407240
85453	TSPYL5	213122_at	206618_at	0.405996
7167	TPI1	210050_at	206618_at	0.405828
9693	RAPGEF2	203096_s_at	206618_at	0.405615
80223	RAB11FIP1	219681_s_at	206618_at	0.404147
64582	GPR135	211659_at	206618_at	0.404069
101929479	LOC101929479	220602_s_at	206618_at	0.403815
388152	GOLGA2P7	220602_s_at	206618_at	0.403815
642423	LOC642423	220602_s_at	206618_at	0.403815
727751	LOC727751	220602_s_at	206618_at	0.403815
8320	EOMES	231776_at	206618_at	0.403802
2117	ETV3	1552423_at	206618_at	0.403583
7337	UBE3A	213291_s_at	206618_at	0.403483
55748	CNDP2	217752_s_at	206618_at	0.402921
9595	CYTIP	209606_at	206618_at	0.402655
23272	FAM208A	209284_s_at	206618_at	0.401991
9173	IL1RL1	242809_at	206618_at	0.401845
2908	NR3C1	211671_s_at	206618_at	0.400997
84937	ZNRF1	223382_s_at	206618_at	0.400808
10863	ADAM28	205997_at	206618_at	0.400675
10735	STAG2	209022_at	206618_at	0.400395
125488	TTC39C	238480_at	206618_at	0.400288
10000	AKT3	242876_at	206618_at	0.399923
84099	ID2B	213931_at	206618_at	0.399575
56650	CLDND1	1554149_at	206618_at	0.399270
474344	GIMAP6	229367_s_at	206618_at	0.399161
283991	UBALD2	224783_at	206618_at	0.397868
4194	MDM4	235162_at	206618_at	0.397867
6868	ADAM17	213532_at	206618_at	0.396799
27332	ZNF638	211257_x_at	206618_at	0.396735
2938	GSTA1	215766_at	206618_at	0.396459
57018	CCNL1	241495_at	206618_at	0.396188
2107	ETF1	201574_at	206618_at	0.396012
55500	ETNK1	219017_at	206618_at	0.395945
64746	ACBD3	202324_s_at	206618_at	0.395171
3301	DNAJA1	200881_s_at	206618_at	0.395160
10236	HNRNPR	208766_s_at	206618_at	0.394987
23348	DOCK9	212538_at	206618_at	0.394858
60682	SMAP1	218137_s_at	206618_at	0.394179
9252	RPS6KA5	204633_s_at	206618_at	0.393556
149233	IL23R	1561853_a_at	206618_at	0.393464
64645	HIAT1	225222_at	206618_at	0.392969
91694	LONRF1	215322_at	206618_at	0.392894
57343	ZNF304	207753_at	206618_at	0.392889
23064	SETX	201965_s_at	206618_at	0.392799
84441	MAML2	235106_at	206618_at	0.392787
100529257	SYNJ2BP-COX16	227274_at	206618_at	0.392777
55333	SYNJ2BP	227274_at	206618_at	0.392777
1362	CPD	201940_at	206618_at	0.391544
7355	SLC35A2	209326_at	206618_at	0.391256
9583	ENTPD4	204076_at	206618_at	0.391220
79048	SECISBP2	218265_at	206618_at	0.390901
1285	COL4A3	214641_at	206618_at	0.390673
10914	PAPOLA	209388_at	206618_at	0.390585
3640	INSL3	214572_s_at	206618_at	0.390552
10745	PHTF1	215285_s_at	206618_at	0.390521
22906	TRAK1	226013_at	206618_at	0.389871
1052	CEBPD	213006_at	206618_at	0.389828
26037	SIPA1L1	237032_x_at	206618_at	0.389410
11057	ABHD2	228490_at	206618_at	0.389178
90634	N4BP2L1	213375_s_at	206618_at	0.388909
284391	ZNF844	228346_at	206618_at	0.388835
3003	GZMK	206666_at	206618_at	0.388449
730051	ZNF814	241912_at	206618_at	0.388342
641	BLM	205733_at	206618_at	0.387854
1793	DOCK1	232973_at	206618_at	0.387174
9620	CELSR1	41660_at	206618_at	0.387166
1875	E2F5	221586_s_at	206618_at	0.386272
23236	PLCB1	213222_at	206618_at	0.386118
151556	GPR155	231166_at	206618_at	0.385930
4683	NBN	202906_s_at	206618_at	0.385897
101928061		200971_s_at	206618_at	0.385532
27230	SERP1	200971_s_at	206618_at	0.385532
9643	MORF4L2	201994_at	206618_at	0.385411
10116	FEM1B	212373_at	206618_at	0.385405
2802	GOLGA3	202106_at	206618_at	0.385400
54813	KLHL28	220374_at	206618_at	0.385231
285172	FAM126B	1554178_a_at	206618_at	0.384480
54765	TRIM44	217759_at	206618_at	0.383783
4616	GADD45B	213560_at	206618_at	0.383778
7403	KDM6A	238220_at	206618_at	0.383329
51193	ZNF639	222624_s_at	206618_at	0.381587
441155	LOC441155	205788_s_at	206618_at	0.381565
9877	ZC3H11A	205788_s_at	206618_at	0.381565
4783	NFIL3	203574_at	206618_at	0.381449
114908	TMEM123	211967_at	206618_at	0.381038
6992	PPP1R11	1566301_at	206618_at	0.380856
388335	TMEM220	229693_at	206618_at	0.380814
8553	BHLHE40	201170_s_at	206618_at	0.380734
3725	JUN	201464_x_at	206618_at	0.380686
26086	GPSM1	226043_at	206618_at	0.379953
80063	ATF7IP2	219870_at	206618_at	0.379841
8573	CASK	227156_at	206618_at	0.379630
51465	UBE2J1	217825_s_at	206618_at	0.379133
23217	ZFR2	233064_at	206618_at	0.379131
2005	ELK4	206919_at	206618_at	0.378184
494470	RNF165	1557545_s_at	206618_at	0.378007
375	ARF1	232175_at	206618_at	0.377978
3320	HSP90AA1	210211_s_at	206618_at	0.377906
10912	GADD45G	204121_at	206618_at	0.377708
54464	XRN1	233632_s_at	206618_at	0.377530
10802	SEC24A	212900_at	206618_at	0.377310
1662	DDX10	204977_at	206618_at	0.377263
2982	GUCY1A3	221942_s_at	206618_at	0.377208
85406	DNAJC14	223420_at	206618_at	0.376752
56951	C5orf15	203024_s_at	206618_at	0.376527
57186	RALGAPA2	239660_at	206618_at	0.376391
6683	SPAST	209748_at	206618_at	0.376239
1785	DNM2	1555895_at	206618_at	0.376136
4735	SEPT2	200778_s_at	206618_at	0.375928
79932	KIAA0319L	217929_s_at	206618_at	0.375824
64131	XYLT1	213725_x_at	206618_at	0.375574
5970	RELA	201783_s_at	206618_at	0.375499
10424	PGRMC2	201701_s_at	206618_at	0.375448
85464	SSH2	226080_at	206618_at	0.375420
10105	PPIF	201490_s_at	206618_at	0.375305
83666	PARP9	227807_at	206618_at	0.375027
102724587	LOC102724587	240747_at	206618_at	0.374919
6891	TAP2	225973_at	206618_at	0.374448
132720	C4orf32	227856_at	206618_at	0.374446
23514	SPIDR	228325_at	206618_at	0.373975
55802	DCP1A	225443_at	206618_at	0.373848
26130	GAPVD1	212802_s_at	206618_at	0.373688
170393	C10orf91	1553880_at	206618_at	0.373486
79609	VCPKMT	218940_at	206618_at	0.373110
7693	ZNF134	206182_at	206618_at	0.373070
100505687	LINC00888	236798_at	206618_at	0.372237
167153	PAPD4	225761_at	206618_at	0.371717
204851	HIPK1	212293_at	206618_at	0.371429
79647	AKIRIN1	222459_at	206618_at	0.371271
23429	RYBP	201845_s_at	206618_at	0.371176
284309	ZNF776	228652_at	206618_at	0.370991
8792	TNFRSF11A	207037_at	206618_at	0.370845
9175	MAP3K13	226190_at	206618_at	0.370748
51755	CDK12	225691_at	206618_at	0.370737
27099	SND1-IT1	210109_at	206618_at	0.370710
5930	RBBP6	212781_at	206618_at	0.370710
25977	NECAP1	209300_s_at	206618_at	0.370627
55893	ZNF395	218149_s_at	206618_at	0.370546
100506639	LOC100506639	221842_s_at	206618_at	0.370389
7690	ZNF131	221842_s_at	206618_at	0.370389
286451	YIPF6	212342_at	206618_at	0.370317
339834	CCDC36	1564600_a_at	206618_at	0.370275
22902	RUFY3	227802_at	206618_at	0.370191
10425	ARIH2	201228_s_at	206618_at	0.370172
57609	DIP2B	224872_at	206618_at	0.369295
57089	ENTPD7	220153_at	206618_at	0.368945
1073	CFL2	224663_s_at	206618_at	0.368844
51569	UFM1	242669_at	206618_at	0.368758
102465801	MIR7703	201762_s_at	206618_at	0.368405
5721	PSME2	201762_s_at	206618_at	0.368405
3735	KARS	200840_at	206618_at	0.368277
65985	AACS	218434_s_at	206618_at	0.367759
49854	ZBTB21	225539_at	206618_at	0.367655
84791	LINC00467	224443_at	206618_at	0.367644
163590	TOR1AIP2	214801_at	206618_at	0.367489
100506540	SPTY2D1-AS1	1558262_at	206618_at	0.367482
56994	CHPT1	221675_s_at	206618_at	0.367386
8669	EIF3J	208264_s_at	206618_at	0.367166
57466	SCAF4	222310_at	206618_at	0.366997
100528030	POC1B-GALNT4	231832_at	206618_at	0.366898
8693	GALNT4	231832_at	206618_at	0.366898
100505878	LOC100505878	1557424_at	206618_at	0.366641
7323	UBE2D3	200668_s_at	206618_at	0.366586
85403	EAF1	226952_at	206618_at	0.366387
3720	JARID2	203298_s_at	206618_at	0.366303
144108	SPTY2D1	229594_at	206618_at	0.366086
100129726	LINC01126	1555124_at	206618_at	0.365641
54940	OCIAD1	223011_s_at	206618_at	0.365591
182	JAG1	216268_s_at	206618_at	0.365523
7798	LUZP1	1558173_a_at	206618_at	0.365264
83440	ADPGK	220980_s_at	206618_at	0.364358
5144	PDE4D	210837_s_at	206618_at	0.364270
54843	SYTL2	232914_s_at	206618_at	0.364244
80095	ZNF606	219635_at	206618_at	0.364135
3215	HOXB5	205600_x_at	206618_at	0.364121
6890	TAP1	202307_s_at	206618_at	0.363937
10207	INADL	240570_at	206618_at	0.363916
3895	KTN1	214709_s_at	206618_at	0.363818
54812	AFTPH	222472_at	206618_at	0.363140
91526	ANKRD44	226641_at	206618_at	0.362958
114818	KLHL29	229310_at	206618_at	0.362643
840	CASP7	207181_s_at	206618_at	0.362497
101060179	LOC101060179	239763_at	206618_at	0.362218
56981	PRDM11	239763_at	206618_at	0.362218
3431	SP110	209762_x_at	206618_at	0.362092
79960	JADE1	235024_at	206618_at	0.362045
26135	SERBP1	210076_x_at	206618_at	0.362042
8460	TPST1	204140_at	206618_at	0.362022
64135	IFIH1	1555464_at	206618_at	0.361926
55786	ZNF415	205514_at	206618_at	0.361733
9710	KIAA0355	203288_at	206618_at	0.361711
157378	TMEM65	238045_at	206618_at	0.361312
5108	PCM1	214118_x_at	206618_at	0.361174
51104	ABHD17B	227551_at	206618_at	0.361007
26994	RNF11	208924_at	206618_at	0.360824
5494	PPM1A	231370_at	206618_at	0.359762
23295	MGRN1	212576_at	206618_at	0.359720
